	strain	fasta_depth	log_fasta_depth	taxa_hits	tp	fp	aligner	hit_rate	precision	recall
155	saureus	2551	3	1740.0	1740.0	0.0	burst-capitalist	0.6820854566836535	1.0	0.6820854566836535
156	kpneumoniae	315435	5	65840.0	49322.0	16518.0	burst-capitalist	0.20872763009811848	0.7491190765492102	0.15636184950940765
157	saureus	2655	3	1842.0	1842.0	0.0	burst-capitalist	0.6937853107344633	1.0	0.6937853107344633
158	ecoli	899	2	888.0	875.0	13.0	burst-capitalist	0.9877641824249166	0.9853603603603603	0.9733036707452726
159	kpneumoniae	31613	4	6594.0	4936.0	1658.0	burst-capitalist	0.20858507575997218	0.748559296329997	0.15613829753582387
160	saureus	266053	5	186822.0	181732.0	5090.0	burst-capitalist	0.7021984341465798	0.9727548147434456	0.6830669077213939
161	saureus	265094	5	185956.0	180735.0	5221.0	burst-capitalist	0.7014719307113703	0.9719234657660952	0.6817770300346292
162	ecoli	76	1	74.0	74.0	0.0	burst-capitalist	0.9736842105263158	1.0	0.9736842105263158
163	ecoli	86	1	85.0	85.0	0.0	burst-capitalist	0.9883720930232558	1.0	0.9883720930232558
164	saureus	266112	5	185649.0	182039.0	3610.0	burst-capitalist	0.6976348304473304	0.9805547026916385	0.6840691137566137
165	saureus	26760	4	18584.0	18253.0	331.0	burst-capitalist	0.6944693572496263	0.9821889797675419	0.6821001494768311
166	saureus	2656	3	1823.0	1823.0	0.0	burst-capitalist	0.6863704819277109	1.0	0.6863704819277109
167	kpneumoniae	31410	4	6812.0	5068.0	1744.0	burst-capitalist	0.2168736071314868	0.7439812096300646	0.16134988857051893
168	kpneumoniae	327	2	59.0	59.0	0.0	burst-capitalist	0.18042813455657492	1.0	0.18042813455657492
169	ecoli	92073	4	90548.0	89817.0	731.0	burst-capitalist	0.9834370553799703	0.9919269337809781	0.9754977029096478
170	kpneumoniae	3187	3	525.0	496.0	29.0	burst-capitalist	0.16473172262315658	0.9447619047619048	0.15563225604016317
171	ecoli	951	2	927.0	927.0	0.0	burst-capitalist	0.9747634069400631	1.0	0.9747634069400631
172	saureus	250	2	165.0	165.0	0.0	burst-capitalist	0.66	1.0	0.66
173	kpneumoniae	303	2	44.0	44.0	0.0	burst-capitalist	0.14521452145214522	1.0	0.14521452145214522
174	ecoli	918660	5	903120.0	896258.0	6862.0	burst-capitalist	0.9830840572137679	0.9924018956506334	0.9756144819628589
175	kpneumoniae	31553	4	6570.0	4999.0	1571.0	burst-capitalist	0.20822108832757583	0.760882800608828	0.15843184483250405
176	saureus	266266	5	185391.0	181695.0	3696.0	burst-capitalist	0.696262384232309	0.9800637571403142	0.6823815282461899
177	saureus	26555	4	18179.0	18137.0	42.0	burst-capitalist	0.6845791752965543	0.9976896418944936	0.6829975522500471
178	ecoli	84	1	82.0	82.0	0.0	burst-capitalist	0.9761904761904762	1.0	0.9761904761904762
179	saureus	301	2	212.0	212.0	0.0	burst-capitalist	0.7043189368770764	1.0	0.7043189368770764
180	kpneumoniae	31846	4	6760.0	5029.0	1731.0	burst-capitalist	0.2122715568674245	0.7439349112426036	0.1579162218174967
181	kpneumoniae	312	2	47.0	47.0	0.0	burst-capitalist	0.15064102564102563	1.0	0.15064102564102563
182	kpneumoniae	329	2	55.0	55.0	0.0	burst-capitalist	0.16717325227963525	1.0	0.16717325227963525
183	ecoli	952	2	933.0	933.0	0.0	burst-capitalist	0.9800420168067226	1.0	0.9800420168067226
184	saureus	271	2	185.0	185.0	0.0	burst-capitalist	0.6826568265682657	1.0	0.6826568265682657
185	ecoli	91939	4	90390.0	89694.0	696.0	burst-capitalist	0.9831518724371594	0.9923000331895121	0.9755816356497242
186	kpneumoniae	315975	5	65890.0	49232.0	16658.0	burst-capitalist	0.20852915578764142	0.7471847017756867	0.15580979507872458
187	saureus	2659611	6	1873531.0	1817096.0	56435.0	burst-capitalist	0.704437979839909	0.9698777335416388	0.6832187113077814
188	saureus	2576	3	1825.0	1825.0	0.0	burst-capitalist	0.7084627329192547	1.0	0.7084627329192547
189	kpneumoniae	316642	5	64203.0	49086.0	15117.0	burst-lca	0.20276210989066518	0.7645437129106116	0.1550204963333986
190	ecoli	91	1	88.0	88.0	0.0	burst-lca	0.967032967032967	1.0	0.967032967032967
191	kpneumoniae	3199	3	649.0	548.0	101.0	burst-lca	0.2028758987183495	0.8443759630200308	0.1713035323538606
192	ecoli	105	2	105.0	105.0	0.0	burst-lca	1.0	1.0	1.0
193	saureus	265531	5	181101.0	177054.0	4047.0	burst-lca	0.682033359570069	0.9776533536534862	0.666792201287232
194	kpneumoniae	3102	3	522.0	495.0	27.0	burst-lca	0.16827852998065765	0.9482758620689655	0.1595744680851064
